id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1265547761925132290,Wed May 27 07:37:53 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@dklaston @NjoroMwas @Ma3Route @Namitidavid I agree..I did some aid project at one of the prisons..and I could see… https://t.co/OcRHV01LGL,I agree .. I aid project one prisons .. I could see…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,2,0,sucre68,,,"dklaston, NjoroMwas, Ma3Route, Namitidavid",Nairobi,
1265547278019964928,Wed May 27 07:35:58 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@NjoroMwas @Ma3Route @Namitidavid Protruding cheek bones!😅😅,Protruding cheek bones,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,0,sucre68,,,"NjoroMwas, Ma3Route, Namitidavid",Nairobi,
1265546230966427650,Wed May 27 07:31:48 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @JackThash: @Ma3Route @NMS_Kenya @Ke_NaMATA @Sir_Labz Unplanned city, let them fix potholes on the roads first, you cant take all parkin…",Unplanned city let fix potholes roads first cant take parkin…,"Sentiment(polarity=0.25, subjectivity=0.3333333333333333)",0.25,0.3333333333333333,en,0,0,overlapKE,,,"JackThash, Ma3Route, NMS_Kenya, Ke_NaMATA, Sir_Labz",Nairobi,
1265546212318621699,Wed May 27 07:31:44 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Ma3Route @itscleotrevor Why is he being arrested though sielewi? He stole the Merc?,Why arrested though sielewi He stole Merc,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,4,0,WambuiRoselyn,,,"Ma3Route, itscleotrevor",Nairobi,
1265544738402439168,Wed May 27 07:25:52 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Sir_Labz: ""If we don’t include pedestrians and cyclists in our planning we will have deliberately, left them out, failed the future gen…",`` If ’ include pedestrians cyclists planning deliberately left failed future gen…,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.14166666666666666)",-0.16666666666666666,0.14166666666666666,en,0,5,Nancy_Githaiga,,,Sir_Labz,Nairobi,
1265544622211764225,Wed May 27 07:25:25 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Ma3Route: 22:57 if you've ever been terorised along Waiyaki way.... This is the face..... 40days came early.  https://t.co/XQ8AiUMWoL v…,:57 've ever terorised along Waiyaki way .... This face ..... days came early v…,"Sentiment(polarity=0.1, subjectivity=0.3)",0.1,0.3,en,0,198,MaishJnr,False,,Ma3Route,Nairobi,
1265543944512909312,Wed May 27 07:22:43 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Ma3Route @SamMacoha 😱😱😱......where is @NemaKenya ,where are environmental activists. This country sucks, nobody ca… https://t.co/5mMwIuoolF",...... environmental activists This country sucks nobody ca…,"Sentiment(polarity=-0.3, subjectivity=0.3)",-0.3,0.3,en,0,0,okello_72,,,"Ma3Route, SamMacoha, NemaKenya",Nairobi,
1265542890937344000,Wed May 27 07:18:32 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Ma3Route: 06:35 The beauty of Mombasa road was those trees.. Now some crooks decided to cut them down all....
Ni Nini husumbua watu lik…",:35 The beauty Mombasa road trees .. Now crooks decided cut .... Ni Nini husumbua watu lik…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,3,okello_72,,,Ma3Route,Nairobi,
1265541340114432001,Wed May 27 07:12:22 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Ma3Route: 08:02 Kikuyu Benga musician, Jimmy Githinji Wayuni, dies in a road crash at Githurai on the Thika Superhighway.  https://t.co…",:02 Kikuyu Benga musician Jimmy Githinji Wayuni dies road crash Githurai Thika Superhighway,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,7,Ericmuigai,,,Ma3Route,Nairobi,
1265537415625740305,Wed May 27 06:56:47 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Ma3Route: 22:57 if you've ever been terorised along Waiyaki way.... This is the face..... 40days came early.  https://t.co/XQ8AiUMWoL v…,:57 've ever terorised along Waiyaki way .... This face ..... days came early v…,"Sentiment(polarity=0.1, subjectivity=0.3)",0.1,0.3,en,0,198,254Mackenzie,False,,Ma3Route,Nairobi,
